year,state,treatment,pupil_expenditure,teacher_salary,stateid,proficieny_mean,log_salary,post
1966,GA,0,2654.510742,39674.07591,10,7.884392285,10.58847846,0
1967,GA,0,3130.267578,43056.2651,10,8.049193179,10.67028626,0
1968,GA,0,3052.587158,43874.372,10,8.024072296,10.68910844,0
1969,GA,0,3201.330322,42601.13045,10,8.071634049,10.65965954,0
1970,GA,0,3356.148193,43712.36086,10,8.118847141,10.68540907,0
1971,GA,0,3528.723633,41511.40148,10,8.168974856,10.63374749,0
1972,GA,0,3764.545654,43804.21688,10,8.233648058,10.6875082,0
1973,GA,0,3991.256592,42457.07332,10,8.292111912,10.65627236,0
1974,GA,0,4007.311768,44823.11437,10,8.296125426,10.71050154,0
1975,GA,0,4094.144531,43051.87481,10,8.31755729,10.67018429,0
1976,GA,0,4167.709473,37981.59856,10,8.335361788,10.5448834,0
1977,GA,0,3954.818359,40040.11749,10,8.282942776,10.59766214,0
1978,GA,0,4327.851074,41783.30815,10,8.373057445,10.64027614,0
1979,GA,0,4478.372559,42130.46248,10,8.407238262,10.64855007,0
1980,GA,0,4181.442383,40210.69003,10,8.338650657,10.60191303,0
1981,GA,0,4488.879395,39252.4782,10,8.409581119,10.57779534,0
1982,GA,0,4554.053711,39535.92543,10,8.423992601,10.58499034,0
1983,GA,0,4794.84375,40786.98135,10,8.475504936,10.61614274,0
1984,GA,0,5195.199219,43254.41861,10,8.555682718,10.67487779,0
1985,GA,0,5593.822266,46703.7049,10,8.629596854,10.75160019,0
1986,GA,0,5906.103027,49006.89295,10,8.683910809,10.79973664,0
1987,GA,0,6132.068848,49400.4339,10,8.721450531,10.80773473,0
1988,GA,0,6664.449707,49529.86158,10,8.804692703,10.81035122,0
1989,GA,0,7033.789551,49249.00271,10,8.858623054,10.8046647,0
1990,GA,0,6959.553223,47863.87705,10,8.848014236,10.77613726,0
1991,GA,0,6602.910645,47024.52992,10,8.795417274,10.75844592,0
1992,GA,0,6788.998535,46972.9604,10,8.823206005,10.75734869,0
1993,GA,0,6894.476074,46345.57697,10,8.838620834,10.74390272,0
1994,GA,0,7104.380371,48301.90631,10,8.868607575,10.78524701,0
1995,GA,0,7234.84082,48650.52762,10,8.886801848,10.79243849,0
1996,GA,0,7461.346191,49470.50145,10,8.917625147,10.80915205,0
1997,GA,0,7672.120605,51041.40725,10,8.94547867,10.84041208,0
1998,GA,0,8150.165039,53075.90061,10,9.005916146,10.8794971,0
1999,GA,0,8425.40918,53693.3431,10,9.039126003,10.89106293,0
2000,GA,0,8773.609375,53457.91091,10,9.079617532,10.88666862,0
1959,HI,0,2284.023926,39542.31948,11,7.734131774,10.58515205,0
1960,HI,0,2352.731934,39308.00686,11,7.763757404,10.57920895,0
1961,HI,0,2454.432129,39486.23831,11,7.806058045,10.58373282,0
1962,HI,0,2608.356201,40224.34163,11,7.866858804,10.60225246,0
1963,HI,0,2750.211426,40814.1102,11,7.919796612,10.61680764,0
1964,HI,0,2855.874756,42373.20465,11,7.957483564,10.65429508,0
1965,HI,0,3333.470459,47965.39759,11,8.112069163,10.77825599,0
1966,HI,0,4200.111328,52050.77236,11,8.343104371,10.85999412,0
1967,HI,0,4035.777832,51184.40006,11,8.303202086,10.84320962,0
1968,HI,0,4281.405762,49751.85856,11,8.362270225,10.8148232,0
1969,HI,0,4705.504395,56872.80623,11,8.456700745,10.94859017,0
1970,HI,1,5055.57666,58189.48114,11,8.528444984,10.97147707,1
1971,HI,1,5156.69043,56656.87131,11,8.548244167,10.9447862,1
1972,HI,1,5124.603516,56772.8108,11,8.542003556,10.94683042,1
1973,HI,1,5886.026367,57146.38578,11,8.680506288,10.95338893,1
1974,HI,1,5536.061523,60188.76458,11,8.619219228,11.00525759,1
1975,HI,1,5776.755371,61643.37827,11,8.661770542,11.02913732,1
1976,HI,1,6027.95166,65884.33482,11,8.704328421,11.09567116,1
1977,HI,1,6473.199219,63243.43816,11,8.775580206,11.05476247,1
1978,HI,1,4917.788574,61139.29329,11,8.500817554,11.02092639,1
1979,HI,1,6266.499512,55081.6676,11,8.743132752,10.91659038,1
1980,HI,1,6333.106445,54091.91244,11,8.753704032,10.89845845,1
1981,HI,1,6267.216309,54075.00847,11,8.743247113,10.8981459,1
1982,HI,1,6762.012207,52987.608,11,8.819223663,10.87783223,1
1983,HI,1,6754.59082,53325.20154,11,8.818125711,10.88418308,1
1984,HI,1,6681.803711,51687.03647,11,8.807292896,10.85298163,1
1985,HI,1,7103.571289,52375.99814,11,8.868493699,10.86622281,1
1986,HI,1,6969.618164,51913.64313,11,8.849459189,10.85735617,1
1987,HI,1,7026.763672,54600.37855,11,8.857623822,10.90781441,1
1988,HI,1,7079.880859,55750.81662,11,8.865153594,10.92866527,1
1989,HI,1,7262.732422,56355.16639,11,8.890649083,10.93944694,1
1990,HI,1,8041.024414,55535.87811,11,8.992436123,10.92480255,1
1991,HI,1,8104.453125,55279.27854,11,9.000292339,10.9201715,1
1992,HI,1,8286.370117,56682.12507,11,9.022487962,10.94523183,1
1993,HI,1,8348.03418,55176.46771,11,9.029901144,10.91830996,1
1994,HI,1,8235.446289,56673.96208,11,9.016324254,10.94508781,1
1995,HI,1,7955.027344,51233.14636,11,8.981685077,10.84416151,1
1996,HI,1,7828.762207,49812.38659,11,8.965687419,10.81603903,1
1997,HI,1,7958.653809,52139.15958,11,8.982140787,10.86169075,1
1998,HI,1,8135.424316,54015.01296,11,9.004106089,10.89703582,1
1999,HI,1,8547.060547,53110.90062,11,9.0534597,10.8801563,1
2000,HI,1,8351.99707,50717.64847,11,9.030375684,10.83404894,1
1959,IA,0,2477.736328,29620.86878,12,7.815504164,10.29626818,0
1960,IA,0,2736.857666,32628.70746,12,7.91493102,10.39297842,0
1961,IA,0,2864.02002,35774.32199,12,7.960330617,10.4850136,0
1962,IA,0,2951.647949,37210.7869,12,7.990457657,10.52438084,0
1963,IA,0,3016.283447,38492.78947,12,8.012112185,10.55825219,0
1964,IA,0,3016.957275,40424.76877,12,8.012335483,10.6072227,0
1965,IA,0,3609.460205,41880.59683,12,8.191590524,10.64260179,0
1966,IA,0,3570.867676,42063.26962,12,8.180843896,10.64695396,0
1967,IA,0,4221.668457,47058.31066,12,8.348222543,10.75916401,0
1968,IA,0,4286.604004,48755.5682,12,8.363483349,10.7945952,0
1969,IA,0,4742.240723,47829.72108,12,8.464475878,10.77542341,0
1970,IA,0,5023.147949,47196.76093,12,8.522011156,10.76210173,0
1971,IA,0,5138.706543,51891.9439,12,8.544751264,10.8569381,0
1972,IA,0,5269.849609,50314.59709,12,8.569946845,10.82607039,0
1973,IA,0,5210.277832,48394.67906,12,8.55858037,10.78716581,0
1974,IA,0,5107.216309,45150.41952,12,8.538605563,10.717777,0
1975,IA,1,5416.151855,46894.19992,12,8.597325468,10.7556706,1
1976,IA,1,5718.930176,48029.80272,12,8.651711877,10.77959781,1
1977,IA,1,6817.09668,47198.69017,12,8.827335633,10.76214261,1
1978,IA,1,6672.958008,47487.38173,12,8.805968367,10.76824036,1
1979,IA,1,6500.18457,46074.09243,12,8.779739681,10.73802779,1
1980,IA,1,6629.960938,44471.25015,12,8.79950501,10.70262068,1
1981,IA,1,6508.495117,43827.09629,12,8.781017177,10.68803036,1
1982,IA,1,6597.690918,43406.70189,12,8.794626563,10.67839217,1
1983,IA,1,6745.41748,44112.55433,12,8.816766899,10.69452237,1
1984,IA,1,6837.427734,43934.40074,12,8.830313121,10.69047567,1
1985,IA,1,6866.152832,43955.71289,12,8.834504864,10.69096063,1
1986,IA,1,7062.427734,44993.94625,12,8.862685727,10.71430546,1
1987,IA,1,7422.010742,47732.38226,12,8.912340014,10.77338627,1
1988,IA,1,7422.410645,47568.6479,12,8.912393886,10.76995019,1
1989,IA,1,7367.762695,47035.0309,12,8.905005087,10.7586692,1
1990,IA,1,7370.124023,46671.82643,12,8.905325487,10.7509174,1
1991,IA,1,7677.147949,46752.36017,12,8.946133645,10.75264141,1
1992,IA,1,7723.779785,46828.41865,12,8.952188595,10.75426689,1
1993,IA,1,7650.648926,46418.0108,12,8.942676449,10.74546437,1
1994,IA,1,7710.542969,46364.12117,12,8.950473572,10.74430276,1
1995,IA,1,7842.525879,46318.30128,12,8.967443742,10.74331403,1
1996,IA,1,7974.727051,46240.65975,12,8.98415809,10.7416364,1
1997,IA,1,8149.178223,46306.67105,12,9.005795074,10.74306291,1
1998,IA,1,8352.30957,46724.18351,12,9.030413095,10.75203856,1
1999,IA,1,8591.491211,46697.48909,12,9.058643986,10.75146709,1
2000,IA,1,8775.375,46193.17634,12,9.079818731,10.74060902,1
1959,ID,0,1965.792603,30947.46626,13,7.584159374,10.34007872,0
1960,ID,0,2157.812012,26997.94567,13,7.677313355,10.20355309,0
1961,ID,0,2241.949219,27535.48465,13,7.715546894,10.22326712,0
1962,ID,0,2322.04248,28537.0983,13,7.75063302,10.25899526,0
1963,ID,0,2379.483887,29422.5421,13,7.77505906,10.28955038,0
1964,ID,0,2301.968506,35873.72903,13,7.741954224,10.4877884,0
1965,ID,0,2669.673828,39353.91619,13,7.89008609,10.58037618,0
1966,ID,0,2660.752686,39539.47345,13,7.886740089,10.58508007,0
1967,ID,0,3224.272705,39465.52275,13,8.078772785,10.58320807,0
1968,ID,0,3327.377197,38341.51417,13,8.110240136,10.55431459,0
1969,ID,0,3405.839355,42203.04457,13,8.133540265,10.65027134,0
1970,ID,0,3379.71167,39671.58078,13,8.12584152,10.58841557,0
1971,ID,1,3568.739014,39799.25807,13,8.180247767,10.59162868,1
1972,ID,1,3850.134033,39943.89527,13,8.256122938,10.59525617,1
1973,ID,1,3903.375244,41170.34651,13,8.269853061,10.62549782,1
1974,ID,1,3728.098389,40877.76031,13,8.223921765,10.6183659,1
1975,ID,1,4213.134277,41390.10973,13,8.346199458,10.6308214,1
1976,ID,1,4200.65332,42105.11789,13,8.343233375,10.64794833,1
1977,ID,1,4024.755127,42186.28067,13,8.300467781,10.64987405,1
1978,ID,1,4411.088379,42196.51351,13,8.392103412,10.65011658,1
1979,ID,1,4650.312012,40893.00967,13,8.444904612,10.61873887,1
1980,ID,1,4594.974609,39715.82994,13,8.432936114,10.5895303,1
1981,ID,1,4354.849121,39343.63472,13,8.379274846,10.5801149,1
1982,ID,1,4441.922852,38850.12236,13,8.399067739,10.56749225,1
1983,ID,1,4428.73291,39374.87169,13,8.39609457,10.58090851,1
1984,ID,1,4715.562012,42043.46279,13,8.458835426,10.64648298,1
1985,ID,1,4779.078125,42494.57555,13,8.472212169,10.65715524,1
1986,ID,1,4897.847168,42727.83505,13,8.496755185,10.66262927,1
1987,ID,1,4809.284668,42693.67621,13,8.478511544,10.66182951,1
1988,ID,1,4895.623047,42489.58372,13,8.496301072,10.65703777,1
1989,ID,1,5136.442871,41959.95335,13,8.544310739,10.64449478,1
1990,ID,1,5349.037109,41871.92493,13,8.584858776,10.64239471,1
1991,ID,1,5394.644531,42160.69628,13,8.593347339,10.64926742,1
1992,ID,1,5395.418457,41980.83028,13,8.593490764,10.64499219,1
1993,ID,1,5475.248535,41884.86046,13,8.608175572,10.64270359,1
1994,ID,1,5821.555176,43821.60581,13,8.669494478,10.68790508,1
1995,ID,1,6001.098633,44200.69699,13,8.699864459,10.69651846,1
1996,ID,1,6180.117188,44222.70357,13,8.729254309,10.6970162,1
1997,ID,1,6413.699707,44608.4156,13,8.766347465,10.70570023,1
1998,ID,1,6777.091797,45568.35293,13,8.821450895,10.72699068,1
1999,ID,1,6956.154297,46022.11759,13,8.847525804,10.73689911,1
2000,ID,1,7248.999023,46061.48165,13,8.888756613,10.73775405,1
1959,IL,0,2782.330078,37904.64277,14,7.93140336,10.54285527,0
1960,IL,0,3130.316162,41275.45611,14,8.049208694,10.62804755,0
1961,IL,0,3289.080811,44832.1716,14,8.098667406,10.71070358,0
1962,IL,0,3312.061279,46718.88656,14,8.105627899,10.75192519,0
1963,IL,0,3301.496826,48409.76755,14,8.102434075,10.78747754,0
1964,IL,0,3554.26709,47894.94529,14,8.17618547,10.77678613,0
1965,IL,0,3730.303711,49308.34565,14,8.224512972,10.80586891,0
1966,IL,0,3596.897949,49802.91123,14,8.188105051,10.8158488,0
1967,IL,0,4208.012695,51595.70327,14,8.344983385,10.85121306,0
1968,IL,0,4206.077637,57020.39205,14,8.344523538,10.95118178,0
1969,IL,0,4846.442871,54959.61739,14,8.486206602,10.91437216,0
1970,IL,0,4692.204102,57509.46113,14,8.453870805,10.95972214,0
1971,IL,0,5234.799316,57512.94301,14,8.563274799,10.95978268,0
1972,IL,0,5792.589355,58426.4891,14,8.664507302,10.97554176,0
1973,IL,0,5760.111328,57907.61729,14,8.658885674,10.96662148,0
1974,IL,0,5351.897949,57561.47724,14,8.585393366,10.9606262,0
1975,IL,0,5272.027832,56074.43871,14,8.570360018,10.93445318,0
1976,IL,0,6284.033203,56165.70563,14,8.745926404,10.93607943,0
1977,IL,0,6472.041992,55838.16985,14,8.775401446,10.93023087,0
1978,IL,0,6768.744141,55682.87641,14,8.820218572,10.92744591,0
1979,IL,0,6731.573242,53405.69997,14,8.814712704,10.88569148,0
1980,IL,0,6368.313477,51339.74939,14,8.759246968,10.84624005,0
1981,IL,0,6144.827148,50423.94987,14,8.723528618,10.82824137,0
1982,IL,0,6138.915527,51080.46537,14,8.722566263,10.841177,0
1983,IL,0,6299.346191,52961.77487,14,8.748359862,10.87734458,0
1984,IL,1,6478.375488,53468.84149,14,8.776379409,10.88687306,1
1985,IL,1,6730.876953,54507.92114,14,8.814609277,10.90611966,1
1986,IL,1,7045.675781,56129.52516,14,8.860311264,10.93543506,1
1987,IL,1,7336.304688,57040.07203,14,8.900726845,10.95152685,1
1988,IL,1,7861.275391,57610.65177,14,8.969831333,10.96148011,1
1989,IL,1,7949.909668,57668.77794,14,8.981041625,10.96248854,1
1990,IL,1,8182.016602,57771.49439,14,9.009816139,10.96426807,1
1991,IL,1,8008.306641,58374.00877,14,8.988359475,10.97464315,1
1992,IL,1,8247.970703,60042.33221,14,9.017843708,11.00282178,1
1993,IL,1,8032.637695,59436.48216,14,8.991392717,10.99268032,1
1994,IL,1,8170.306641,60386.21107,14,9.008384107,11.00853262,1
1995,IL,1,7896.833984,58547.46602,14,8.974343822,10.97761017,1
1996,IL,1,8255.550781,58544.35537,14,9.018762198,10.97755704,1
1997,IL,1,8480.234375,59357.42455,14,9.045611281,10.99134934,1
1998,IL,1,9046.643555,60960.69855,14,9.110259622,11.01800105,1
1999,IL,1,9336.03125,60843.64252,14,9.141743627,11.01607905,1
2000,IL,1,9663.195312,60588.41822,14,9.17618313,11.01187554,1
1959,IN,0,2409.30542,40174.54593,15,7.787508749,10.60101378,0
1960,IN,0,2628.575928,42585.32679,15,7.874577868,10.65928851,0
1961,IN,0,2770.528076,45216.45791,15,7.927154099,10.71923853,0
1962,IN,0,2899.928467,46035.07552,15,7.972786126,10.73718062,0
1963,IN,0,2942.766846,46684.52745,15,7.98744528,10.75118949,0
1964,IN,0,3170.68042,45932.44129,15,8.062016827,10.7349487,0
1965,IN,0,3278.114258,48803.00952,15,8.095328622,10.79556775,0
1966,IN,0,3552.837891,49648.1184,15,8.175783394,10.81273591,0
1967,IN,0,3758.135498,51987.42062,15,8.231944289,10.85877629,0
1968,IN,0,3732.805664,50754.41491,15,8.225183278,10.83477359,0
1969,IN,0,3928.395508,54300.10198,15,8.276240878,10.9022998,0
1970,IN,0,3929.342285,52547.00103,15,8.276481797,10.86948234,0
1971,IN,0,4370.517578,51714.26864,15,8.3828655,10.85350835,0
1972,IN,0,4026.838867,53418.50432,15,8.30098525,10.88593121,0
1973,IN,1,4473.264648,50658.72889,15,8.406097293,10.83288657,1
1974,IN,1,4266.842285,48135.97332,15,8.358863659,10.78180584,1
1975,IN,1,4319.422363,45252.70027,15,8.371108446,10.72003972,1
1976,IN,1,4497.196777,45860.73958,15,8.411431879,10.73338649,1
1977,IN,1,4667.485352,45978.87192,15,8.448589962,10.73595901,1
1978,IN,1,4490.940918,44661.34908,15,8.410040163,10.70688612,1
1979,IN,1,5130.347656,45287.16856,15,8.543123605,10.7208011,1
1980,IN,1,4758.680664,44608.8583,15,8.467935858,10.70571015,1
1981,IN,1,4992.96875,44705.07753,15,8.515986213,10.70786473,1
1982,IN,1,5061.825195,45389.54272,15,8.529679945,10.72305905,1
1983,IN,1,5414.974121,47153.51606,15,8.597108036,10.76118506,1
1984,IN,1,5817.325684,47961.82574,15,8.668767816,10.77818153,1
1985,IN,1,5980.540039,49295.65312,15,8.696433345,10.80561147,1
1986,IN,1,6393.187012,50964.62202,15,8.763144577,10.83890661,1
1987,IN,1,6630.820312,51955.29781,15,8.799634602,10.85815822,1
1988,IN,1,7249.253418,53425.56187,15,8.888791701,10.88606331,1
1989,IN,1,7416.371094,54341.66542,15,8.911579973,10.90306493,1
1990,IN,1,7654.101074,54145.29142,15,8.943127512,10.89944476,1
1991,IN,1,7603.297852,54443.55728,15,8.936468873,10.90493817,1
1992,IN,1,7762.64209,54500.0109,15,8.957206845,10.90597453,1
1993,IN,1,7915.089355,53890.76728,15,8.976652595,10.894733,1
1994,IN,1,7962.126465,53728.29325,15,8.982576974,10.89171363,1
1995,IN,1,8043.273926,53905.90636,15,8.992715804,10.89501388,1
1996,IN,1,8561.788086,53985.88687,15,9.055181127,10.89649646,1
1997,IN,1,8583.294922,54004.52336,15,9.057689641,10.8968416,1
1998,IN,1,9059.293945,55066.49772,15,9.111656843,10.91631494,1
1999,IN,1,9413.563477,54775.7699,15,9.150013075,10.91102148,1
2000,IN,1,9662.317383,54844.50397,15,9.176092283,10.91227549,1
1959,KS,0,2400.753418,32439.5569,16,7.78395434,10.38716468,0
1960,KS,0,2680.121094,33593.67069,16,7.893990305,10.42212272,0
1961,KS,0,2841.14209,34941.61297,16,7.952313304,10.46146237,0
1962,KS,0,2861.846436,36333.0154,16,7.959571666,10.50050964,0
1963,KS,0,3050.543213,37573.85468,16,8.023402713,10.53409035,0
1964,KS,0,3090.226807,39299.31845,16,8.036323316,10.5789879,0
1965,KS,0,3350.670654,40046.15746,16,8.117214203,10.59781298,0
1966,KS,0,3438.187256,41053.75115,16,8.14299046,10.62266185,0
1967,KS,0,3815.003662,42481.74632,16,8.246958992,10.6568533,0
1968,KS,0,3696.788818,43880.63797,16,8.215490303,10.68925124,0
1969,KS,0,4156.995605,45274.84157,16,8.332788412,10.72052887,0
1970,KS,1,3950.986084,45151.08089,16,8.281973538,10.71779165,1
1971,KS,1,4314.162598,44440.35121,16,8.369890285,10.70192565,1
1972,KS,1,4812.842773,45217.92925,16,8.479250958,10.71927107,1
1973,KS,1,5126.511719,45001.05989,16,8.542375775,10.71446354,1
1974,KS,1,5729.036621,41886.21404,16,8.653477201,10.64273591,1
1975,KS,1,5595.842285,43408.54634,16,8.62995784,10.67843466,1
1976,KS,1,5496.188477,45101.95071,16,8.611992054,10.71670295,1
1977,KS,1,5614.468262,46583.38362,16,8.633280258,10.74902065,1
1978,KS,1,6244.789062,44407.17337,16,8.739662766,10.70117882,1
1979,KS,1,5895.447754,41118.27414,16,8.682105373,10.62423225,1
1980,KS,1,6106.343262,40226.5679,16,8.71724714,10.60230781,1
1981,KS,1,6112.488281,40089.67889,16,8.718252803,10.59889914,1
1982,KS,1,6282.333008,40812.62636,16,8.745655852,10.61677128,1
1983,KS,1,6534.838379,42496.83816,16,8.785055908,10.65720849,1
1984,KS,1,6810.925781,44326.85956,16,8.826430146,10.69936864,1
1985,KS,1,7030.771484,45889.0347,16,8.858193942,10.73400326,1
1986,KS,1,7109.283203,46673.13664,16,8.869297354,10.75094547,1
1987,KS,1,7147.42334,47310.09071,16,8.874647099,10.76450002,1
1988,KS,1,7398.373047,49206.37192,16,8.909150552,10.80379873,1
1989,KS,1,7543.607422,50546.78761,16,8.928588338,10.83067446,1
1990,KS,1,7398.32959,49613.16336,16,8.909144679,10.81203162,1
1991,KS,1,7291.429199,49200.28698,16,8.894591993,10.80367506,1
1992,KS,1,7655.408691,51076.08106,16,8.943298314,10.84109116,1
1993,KS,1,7667.785645,51185.06203,16,8.944913556,10.84322255,1
1994,KS,1,7683.726074,51403.53963,16,8.946990011,10.84748177,1
1995,KS,1,7688.797363,50111.38841,16,8.947649711,10.82202353,1
1996,KS,1,7655.437012,49669.23956,16,8.943302012,10.81316123,1
1997,KS,1,7780.940918,50011.58515,16,8.959561061,10.82002996,1
1998,KS,1,8046.507812,50039.16982,16,8.993117734,10.82058136,1
1999,KS,1,8237.581055,45785.21402,16,9.016583406,10.73173832,1
2000,KS,1,8784.494141,45461.25781,16,9.080857247,10.72463776,1
1959,KY,0,1567.327637,23912.75583,17,7.357765131,10.08220913,0
1960,KY,0,1838.966309,27395.1641,17,7.51750254,10.21815829,0
1961,KY,0,2060.397217,30967.6435,17,7.631139292,10.34073047,0
1962,KY,0,2056.515137,31279.86571,17,7.629254289,10.35076187,0
1963,KY,0,2076.487305,31482.72536,17,7.638914416,10.35722604,0
1964,KY,0,2131.383057,33060.10323,17,7.664995439,10.40611274,0
1965,KY,0,2440.892334,34127.4946,17,7.800528564,10.43788793,0
1966,KY,0,2556.537842,37688.68958,17,7.846800294,10.53714185,0
1967,KY,0,2854.742676,39824.59698,17,7.95708722,10.59226512,0
1968,KY,0,3093.579102,40885.5009,17,8.037407183,10.61855524,0
1969,KY,0,2982.652588,41834.6666,17,8.00090353,10.64150452,0
1970,KY,0,3165.733643,40407.80079,17,8.060455939,10.60680288,0
1971,KY,0,3402.165039,40079.23121,17,8.132461171,10.5986385,0
1972,KY,0,3430.892822,40820.29261,17,8.140867231,10.6169591,0
1973,KY,0,3555.894287,40487.69374,17,8.176643052,10.60877805,0
1974,KY,0,3531.50708,39320.84929,17,8.169763119,10.5795356,0
1975,KY,0,3709.598877,39598.64591,17,8.218948565,10.58657546,0
1976,KY,0,4052.815674,41963.32401,17,8.307413858,10.64457511,0
1977,KY,0,4269.413086,42099.92185,17,8.359465843,10.64782492,0
1978,KY,0,3440.942383,43912.1996,17,8.143791237,10.68997023,0
1979,KY,0,4677.281738,43491.05987,17,8.450686172,10.68033367,0
1980,KY,0,4332.060547,42036.64437,17,8.374029395,10.64632079,0
1981,KY,0,4217.61377,41476.21757,17,8.347261862,10.63289958,0
1982,KY,0,4282.007324,41746.99067,17,8.362410688,10.6394066,0
1983,KY,0,4579.138184,43041.97817,17,8.429484448,10.66995439,0
1984,KY,0,4509.67627,42456.90871,17,8.41420237,10.65626848,0
1985,KY,0,4516.717773,42452.01815,17,8.415762228,10.65615329,0
1986,KY,0,4900.27832,44699.49106,17,8.497251332,10.70773977,0
1987,KY,0,5202.141602,46594.11457,17,8.557017876,10.74925098,0
1988,KY,0,5546.678223,46602.78703,17,8.621134781,10.74943708,0
1989,KY,0,5950.157227,46234.90606,17,8.691340971,10.74151196,0
1990,KY,0,6502.447266,47683.69305,17,8.780087664,10.77236572,0
1991,KY,0,6715.07959,49422.82578,17,8.812259869,10.80818789,0
1992,KY,0,6698.435059,48359.31784,17,8.809778482,10.78643488,0
1993,KY,0,6798.562012,47723.32872,17,8.824613479,10.77319658,0
1994,KY,0,6687.141602,47461.75801,17,8.808091327,10.76770064,0
1995,KY,0,6877.347656,47331.31738,17,8.836133736,10.76494858,0
1996,KY,0,7164.136719,47181.53876,17,8.876982422,10.76177916,0
1997,KY,0,7082.464355,47025.37276,17,8.865518383,10.75846385,0
1998,KY,0,7541.447266,47525.50587,17,8.928301979,10.76904285,0
1999,KY,0,7749.59668,47616.30846,17,8.95552511,10.7709516,0
2000,KY,0,7697.218262,46332.46879,17,8.948744186,10.74361985,0
1959,LA,0,2490.585693,36102.87953,18,7.820674611,10.4941556,0
1960,LA,0,2507.627441,36555.29238,18,7.827491046,10.50660861,0
1961,LA,0,2568.868896,37260.77015,18,7.851610164,10.52572315,0
1962,LA,0,2626.562012,36967.45502,18,7.873811704,10.51782026,0
1963,LA,0,2779.66333,36560.04289,18,7.930444786,10.50673855,0
1964,LA,0,2719.734131,36401.28387,18,7.908657024,10.5023868,0
1965,LA,0,3093.027832,41804.45029,18,8.037229027,10.640782,0
1966,LA,0,3510.005371,42992.02662,18,8.163657706,10.66879321,0
1967,LA,0,3478.587402,47254.16934,18,8.154669003,10.76331733,0
1968,LA,0,3659.165771,43723.98854,18,8.205263718,10.68567504,0
1969,LA,0,3502.018311,41531.646,18,8.16138025,10.63423505,0
1970,LA,0,4141.97998,46870.80092,18,8.32917061,10.75517151,0
1971,LA,0,4299.224609,47643.88998,18,8.366422535,10.77153066,0
1972,LA,0,4423.644531,47549.77216,18,8.394945222,10.76955331,0
1973,LA,0,4400.594727,45781.93608,18,8.389722192,10.73166673,0
1974,LA,0,4132.421387,42018.90532,18,8.326860766,10.64589872,0
1975,LA,0,3922.948975,40903.73946,18,8.274853817,10.61900121,0
1976,LA,0,4336.698242,42507.50593,18,8.375099127,10.65745947,0
1977,LA,0,4846.146484,50142.08641,18,8.486145457,10.82263593,0
1978,LA,0,4776.797363,43527.59161,18,8.471734917,10.68117328,0
1979,LA,0,4892.713379,41358.55624,18,8.495706676,10.63005878,0
1980,LA,0,6016.078613,41944.0235,18,8.70235714,10.64411508,0
1981,LA,0,5696.765137,43011.48531,18,8.647829296,10.66924571,0
1982,LA,0,5500.77002,41046.4999,18,8.612825141,10.62248521,0
1983,LA,0,5337.55127,40283.43837,18,8.582709597,10.60372053,0
1984,LA,0,5742.342285,40903.86311,18,8.655796599,10.61900424,0
1985,LA,0,5999.170898,41144.89806,18,8.699543231,10.62487952,0
1986,LA,0,5655.507812,42170.75767,18,8.640561987,10.64950603,0
1987,LA,0,5540.604004,40710.82541,18,8.620039269,10.61427388,0
1988,LA,0,5783.393066,41942.13968,18,8.662918719,10.64407016,0
1989,LA,0,6294.507812,42731.94194,18,8.747591612,10.66272538,0
1990,LA,0,6428.276367,41928.64952,18,8.768617271,10.64374848,0
1991,LA,0,6427.203125,41566.72581,18,8.768450326,10.63507932,0
1992,LA,0,6232.390137,40568.05123,18,8.737675627,10.61076077,0
1993,LA,0,6237.42627,39665.06547,18,8.738483229,10.58825133,0
1994,LA,0,6409.496582,39100.00178,18,8.765692017,10.57390337,0
1995,LA,0,6362.730957,39390.30132,18,8.758370113,10.58130029,0
1996,LA,0,6565.26709,40338.2769,18,8.789700775,10.60508089,0
1997,LA,0,7046.749023,40880.40523,18,8.860463557,10.6184306,0
1998,LA,0,7422.008301,43490.80098,18,8.912339685,10.68032772,0
1999,LA,0,7596.627441,43335.02905,18,8.935591299,10.67673965,0
2000,LA,0,7644.367188,42566.50737,18,8.941855147,10.6588465,0
1959,MA,0,2824.434082,40331.87184,19,7.946417289,10.60492209,0
1960,MA,0,3143.718262,40741.07082,19,8.053479582,10.61501652,0
1961,MA,0,3123.276123,41411.83792,19,8.046957895,10.63134621,0
1962,MA,0,3349.302002,43909.0403,19,8.116805771,10.68989828,0
1963,MA,0,3532.404297,46205.62541,19,8.170017075,10.74087847,0
1964,MA,0,3385.749512,48886.74839,19,8.127625894,10.7972821,0
1965,MA,0,3506.994141,49149.13016,19,8.162799683,10.80263477,0
1966,MA,1,3631.805176,49230.85077,19,8.197760405,10.80429607,1
1967,MA,1,4398.506836,46581.72123,19,8.389247731,10.74898496,1
1968,MA,1,4382.113281,50754.41491,19,8.385514546,10.83477359,1
1969,MA,1,4697.82373,53355.39072,19,8.455067486,10.88474904,1
1970,MA,1,4514.431641,50580.00099,19,8.415256063,10.83133131,1
1971,MA,1,5152.883789,49533.70864,19,8.547505843,10.81042889,1
1972,MA,1,5248.763672,47993.18748,19,8.56593834,10.77883519,1
1973,MA,1,6293.154297,53998.32517,19,8.747376592,10.89672683,1
1974,MA,1,5281.626953,49188.65748,19,8.572178782,10.80343867,1
